target,model,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,pr_auc_mean,pr_auc_std
FwdVolRegime,HAR,0.2956,0.2778,0.2563,0.2603,0.2644,0.2551,0.3226,0.2633
FwdVolRegime,LightGBM,0.33,0.232,0.5017,0.3048,0.3805,0.2471,0.3604,0.2651
FwdVolRegime,LogisticRegression,0.3164,0.2306,0.545,0.3438,0.3849,0.2564,0.3677,0.2716
FwdVolRegime,Majority,0.0,0.0,0.0,0.0,0.0,0.0,,
FwdVolRegime,MatchedNaive,0.3157,0.2629,0.3213,0.2552,0.3155,0.2547,0.3342,0.2632
FwdVolRegime,Persistence,0.3324,0.2582,0.3271,0.2241,0.3238,0.2329,,
FwdVolRegime,XGBoost,0.3276,0.2366,0.44,0.2753,0.362,0.2398,0.3499,0.2568
NextVolSpike,HAR,0.8742,0.0583,0.8684,0.0501,0.8711,0.0529,0.9008,0.0582
NextVolSpike,LightGBM,0.5203,0.1859,0.8875,0.0717,0.6392,0.167,0.705,0.1924
NextVolSpike,LogisticRegression,0.5235,0.1822,0.8376,0.1393,0.6307,0.1707,0.6762,0.2013
NextVolSpike,Majority,0.0,0.0,0.0,0.0,0.0,0.0,,
NextVolSpike,MatchedNaive,0.8709,0.0606,0.8752,0.0562,0.8729,0.0577,0.9008,0.0587
NextVolSpike,Persistence,0.5988,0.2142,0.6273,0.1433,0.6009,0.1711,,
NextVolSpike,XGBoost,0.5597,0.1898,0.8418,0.0994,0.6567,0.1659,0.71,0.1899
